Year,Month,Adajan,Vesu,Pal,Katargam,Varachha,Dumas
2009,5,1593,1732,1898,2007,2395,2861
2009,6,1623,1767,1890,2029,2410,2809
2009,7,1629,1699,1900,2097,2422,2866
2009,8,1588,1749,1930,2044,2359,2868
2009,9,1553,1729,1960,2085,2363,2829
2009,10,1575,1722,1930,2068,2379,2878
2009,11,1614,1787,1939,2124,2409,2932
2009,12,1638,1799,1914,2048,2373,2889
2010,1,1668,1773,1902,2140,2385,2887
2010,2,1640,1793,1910,2089,2448,2933
2010,3,1623,1790,1949,2104,2461,2957
2010,4,1627,1850,1995,2103,2438,2970
2010,5,1623,1860,1939,2188,2459,2925
2010,6,1618,1832,1946,2131,2475,2995
2010,7,1671,1825,2016,2124,2523,2989
2010,8,1701,1839,2037,2135,2457,2960
2010,9,1637,1841,2027,2196,2554,3018
2010,10,1701,1860,2025,2189,2473,3001
2010,11,1662,1861,1977,2179,2515,3038
2010,12,1725,1854,2077,2197,2580,3044
2011,1,1746,1896,2012,2194,2530,3088
2011,2,1712,1862,2090,2252,2555,3055
2011,3,1740,1897,2094,2224,2617,3119
2011,4,1738,1871,2101,2220,2610,3053
2011,5,1728,1868,2075,2223,2612,3066
2011,6,1737,1944,2087,2256,2625,3145
2011,7,1756,1949,2125,2290,2600,3101
2011,8,1731,1942,2135,2288,2635,3111
2011,9,1705,1927,2122,2291,2631,3174
2011,10,1744,1976,2109,2303,2685,3189
2011,11,1807,1944,2145,2277,2655,3201
2011,12,1814,1922,2147,2322,2632,3230
2012,1,1786,1918,2152,2311,2667,3163
2012,2,1802,1964,2099,2332,2732,3228
2012,3,1798,1946,2146,2327,2706,3223
2012,4,1841,1968,2165,2366,2692,3294
2012,5,1852,1971,2160,2383,2686,3311
2012,6,1849,2015,2179,2316,2762,3231
2012,7,1843,1975,2168,2417,2767,3284
2012,8,1867,1969,2232,2389,2789,3264
2012,9,1824,2035,2166,2378,2765,3279
2012,10,1875,2067,2192,2400,2807,3371
2012,11,1891,2076,2256,2371,2766,3360
2012,12,1817,2019,2227,2456,2803,3363
2013,1,1917,2039,2285,2455,2829,3333
2013,2,1856,2094,2267,2402,2828,3332
2013,3,1912,2095,2277,2496,2825,3439
2013,4,1936,2117,2283,2431,2795,3394
2013,5,1858,2139,2307,2486,2869,3427
2013,6,1915,2075,2286,2506,2817,3475
2013,7,1927,2113,2310,2488,2880,3493
2013,8,1901,2128,2336,2507,2865,3457
2013,9,1932,2079,2349,2498,2924,3436
2013,10,1933,2110,2318,2541,2898,3450
2013,11,1931,2145,2351,2536,2961,3530
2013,12,1990,2109,2329,2582,2883,3501
2014,1,1915,2120,2338,2583,2921,3534
2014,2,1929,2165,2336,2570,2947,3545
2014,3,1993,2142,2326,2601,2919,3607
2014,4,1966,2181,2363,2533,2967,3569
2014,5,1977,2210,2415,2604,3041,3592
2014,6,1996,2165,2419,2652,2959,3632
2014,7,2029,2232,2390,2597,3045,3629
2014,8,2046,2225,2421,2637,3020,3594
2014,9,2073,2244,2420,2665,3058,3607
2014,10,2034,2255,2490,2610,3062,3702
2014,11,2077,2269,2458,2703,3018,3685
2014,12,2033,2260,2448,2712,3056,3739
2015,1,2095,2241,2491,2700,3091,3713
2015,2,2062,2319,2445,2685,3150,3709
2015,3,2040,2238,2522,2714,3160,3741
2015,4,2092,2256,2545,2716,3139,3725
2015,5,2068,2323,2531,2710,3138,3781
2015,6,2125,2334,2507,2769,3178,3830
2015,7,2107,2299,2538,2755,3182,3838
2015,8,2082,2348,2560,2738,3180,3834
2015,9,2140,2309,2539,2784,3212,3851
2015,10,2103,2379,2524,2774,3234,3818
2015,11,2186,2400,2556,2831,3191,3850
2015,12,2166,2408,2566,2820,3212,3865
2016,1,2201,2405,2585,2838,3262,3861
2016,2,2125,2413,2612,2812,3222,3934
2016,3,2147,2436,2651,2874,3220,3891
2016,4,2139,2408,2633,2846,3328,3935
2016,5,2179,2392,2682,2854,3326,3915
2016,6,2204,2409,2608,2892,3261,3966
2016,7,2209,2466,2621,2880,3294,4017
2016,8,2263,2435,2689,2879,3375,3993
2016,9,2192,2447,2660,2888,3321,4029
2016,10,2273,2509,2664,2876,3398,3999
2016,11,2244,2473,2741,2903,3396,4086
2016,12,2305,2460,2715,2932,3354,4039
2017,1,2295,2488,2731,2910,3393,4034
2017,2,2244,2524,2735,2919,3399,4103
2017,3,2304,2527,2756,3018,3446,4065
2017,4,2318,2564,2706,3019,3439,4147
2017,5,2284,2525,2746,2974,3409,4113
2017,6,2361,2581,2739,3001,3471,4117
2017,7,2299,2516,2756,3002,3450,4156
2017,8,2308,2602,2748,3012,3478,4230
2017,9,2359,2547,2819,3007,3558,4244
2017,10,2330,2612,2792,3053,3512,4230
2017,11,2342,2581,2869,3021,3494,4225
2017,12,2343,2587,2889,3040,3548,4270
2018,1,2329,2629,2863,3123,3533,4306
2018,2,2410,2665,2835,3105,3629,4328
2018,3,2399,2645,2906,3152,3574,4282
2018,4,2445,2680,2864,3132,3569,4307
2018,5,2450,2693,2903,3132,3581,4357
2018,6,2426,2662,2913,3156,3668,4406
2018,7,2444,2640,2910,3158,3653,4349
2018,8,2455,2695,2968,3175,3670,4394
2018,9,2461,2654,2913,3163,3660,4399
2018,10,2430,2689,2950,3182,3704,4434
2018,11,2467,2744,2970,3247,3700,4444
2018,12,2503,2746,2942,3206,3684,4503
2019,1,2464,2791,2963,3211,3700,4500
2019,2,2512,2708,2982,3246,3752,4521
2019,3,2470,2792,3056,3301,3792,4532
2019,4,2559,2826,3037,3237,3831,4545
2019,5,2496,2797,3008,3282,3782,4600
2019,6,2593,2837,3062,3318,3768,4531
2019,7,2549,2794,3062,3284,3821,4617
2019,8,2524,2789,3091,3359,3845,4653
2019,9,2610,2874,3062,3300,3889,4670
2019,10,2582,2857,3132,3390,3846,4672
2019,11,2588,2827,3125,3342,3920,4671
2019,12,2614,2854,3164,3366,3913,4701
2020,1,2588,2872,3159,3413,3899,4742
2020,2,2594,2909,3112,3409,3956,4680
2020,3,2608,2881,3132,3383,3951,4717
2020,4,2622,2874,3200,3466,3978,4776
2020,5,2701,2958,3212,3498,3986,4815
2020,6,2708,2943,3153,3446,3967,4844
2020,7,2684,2900,3253,3468,4061,4838
2020,8,2669,2945,3205,3538,4026,4818
2020,9,2662,2933,3211,3542,4092,4845
2020,10,2760,2997,3263,3537,4108,4840
2020,11,2690,3011,3254,3519,4113,4878
2020,12,2752,2991,3241,3585,4070,4942
2021,1,2733,3023,3314,3536,4093,4969
2021,2,2785,3068,3303,3558,4140,5008
2021,3,2724,2995,3324,3637,4192,4950
2021,4,2758,3099,3359,3634,4138,4998
2021,5,2832,3111,3372,3602,4171,5040
2021,6,2849,3105,3343,3617,4213,5073
2021,7,2842,3057,3361,3606,4223,5020
2021,8,2830,3058,3368,3698,4272,5039
2021,9,2863,3083,3429,3727,4249,5079
2021,10,2844,3138,3405,3738,4291,5103
2021,11,2857,3137,3416,3729,4287,5172
2021,12,2866,3129,3434,3686,4304,5118
2022,1,2879,3204,3436,3746,4329,5155
2022,2,2843,3171,3459,3793,4325,5183
2022,3,2896,3191,3500,3797,4396,5234
2022,4,2869,3171,3500,3805,4395,5257
2022,5,2933,3268,3505,3794,4388,5236
2022,6,2901,3219,3511,3821,4441,5319
2022,7,2924,3205,3569,3828,4409,5333
2022,8,2957,3252,3581,3804,4470,5291
2022,9,2928,3260,3603,3906,4455,5329
2022,10,2945,3312,3612,3879,4456,5344
2022,11,3045,3259,3608,3857,4520,5430
2022,12,2976,3287,3564,3933,4530,5417
2023,1,3022,3368,3598,3879,4564,5477
2023,2,3024,3359,3616,3986,4541,5489
2023,3,3075,3346,3692,4005,4550,5448
2023,4,3021,3329,3661,3957,4569,5516
2023,5,3059,3329,3659,3957,4581,5536
2023,6,3078,3403,3689,3958,4636,5549
2023,7,3128,3411,3726,4014,4620,5557
2023,8,3119,3431,3745,4071,4702,5543
2023,9,3082,3410,3755,4101,4725,5653
2023,10,3146,3406,3730,4037,4747,5606
2023,11,3184,3483,3776,4082,4667,5682
2023,12,3183,3512,3743,4133,4764,5663
2024,1,3167,3479,3753,4070,4732,5721
2024,2,3143,3483,3866,4170,4817,5690
2024,3,3192,3472,3820,4184,4786,5759
2024,4,3162,3501,3801,4199,4767,5798
2024,5,3260,3568,3824,4200,4842,5833
2024,6,3241,3559,3898,4200,4831,5868
2024,7,3272,3580,3858,4227,4886,5874
2024,8,3305,3595,3898,4223,4887,5831
2024,9,3240,3587,3974,4242,4932,5914
2024,10,3258,3589,3992,4283,4894,5866
2024,11,3330,3596,3939,4248,4927,5955
2024,12,3269,3648,3972,4344,4985,5964
