Year,Month,Adajan,Vesu,Pal,Katargam,Varachha,Dumas
2003,12,1500,1844,1538,1192,1283,2142
2004,1,1473,1833,1552,1261,1287,2215
2004,2,1503,1815,1597,1205,1382,2231
2004,3,1477,1804,1570,1258,1347,2216
2004,4,1453,1856,1552,1267,1322,2214
2004,5,1525,1864,1649,1270,1315,2244
2004,6,1454,1870,1562,1230,1382,2207
2004,7,1503,1907,1654,1204,1340,2193
2004,8,1450,1851,1644,1299,1401,2204
2004,9,1478,1833,1638,1292,1371,2303
2004,10,1484,1852,1669,1276,1351,2236
2004,11,1534,1892,1645,1223,1431,2318
2004,12,1571,1886,1648,1226,1376,2300
2005,1,1574,1954,1642,1276,1398,2342
2005,2,1528,1968,1641,1263,1393,2314
2005,3,1590,1938,1643,1316,1370,2359
2005,4,1499,1889,1631,1308,1444,2318
2005,5,1548,1908,1728,1301,1382,2301
2005,6,1549,1977,1674,1292,1413,2378
2005,7,1540,1912,1703,1325,1472,2391
2005,8,1576,1953,1718,1336,1486,2373
2005,9,1578,1950,1700,1306,1400,2406
2005,10,1584,1955,1685,1361,1453,2391
2005,11,1568,2015,1717,1326,1460,2431
2005,12,1604,1974,1781,1380,1474,2350
2006,1,1623,1998,1759,1365,1517,2419
2006,2,1570,2027,1724,1336,1511,2440
2006,3,1618,2071,1719,1315,1497,2382
2006,4,1647,2066,1739,1394,1524,2448
2006,5,1672,2059,1722,1401,1458,2457
2006,6,1676,2022,1764,1374,1479,2473
2006,7,1598,2072,1822,1391,1481,2443
2006,8,1668,2021,1789,1371,1510,2502
2006,9,1609,2070,1785,1385,1489,2533
2006,10,1672,2114,1839,1423,1482,2506
2006,11,1628,2059,1778,1361,1565,2472
2006,12,1702,2068,1859,1368,1516,2533
2007,1,1651,2115,1851,1400,1504,2570
2007,2,1654,2066,1872,1388,1536,2504
2007,3,1728,2103,1828,1456,1596,2570
2007,4,1666,2175,1835,1424,1557,2568
2007,5,1749,2144,1811,1460,1578,2583
2007,6,1692,2137,1904,1476,1598,2546
2007,7,1727,2149,1857,1435,1554,2596
2007,8,1768,2187,1834,1432,1621,2587
2007,9,1739,2126,1840,1424,1582,2630
2007,10,1716,2138,1937,1446,1571,2588
2007,11,1761,2223,1864,1451,1589,2676
2007,12,1781,2208,1956,1427,1585,2623
2008,1,1797,2195,1895,1490,1630,2612
2008,2,1818,2250,1919,1516,1649,2704
2008,3,1742,2262,1903,1512,1669,2702
2008,4,1749,2222,1986,1489,1645,2638
2008,5,1745,2232,1975,1493,1686,2704
2008,6,1781,2250,1932,1455,1700,2668
2008,7,1786,2287,1950,1513,1641,2713
2008,8,1790,2313,1987,1514,1677,2722
2008,9,1798,2303,1989,1510,1667,2700
2008,10,1836,2339,2033,1484,1728,2759
2008,11,1809,2311,1968,1555,1674,2793
2008,12,1830,2312,2048,1574,1690,2740
2009,1,1846,2314,2049,1587,1729,2789
2009,2,1814,2321,2063,1586,1689,2831
2009,3,1859,2302,2059,1517,1665,2822
2009,4,1866,2360,1991,1522,1743,2781
2009,5,1898,2395,2007,1593,1732,2861
2009,6,1890,2410,2029,1623,1767,2809
2009,7,1900,2422,2097,1629,1699,2866
2009,8,1930,2359,2044,1588,1749,2868
2009,9,1960,2363,2085,1553,1729,2829
2009,10,1930,2379,2068,1575,1722,2878
2009,11,1939,2409,2124,1614,1787,2932
2009,12,1914,2373,2048,1638,1799,2889
2010,1,1902,2385,2140,1668,1773,2887
2010,2,1910,2448,2089,1640,1793,2933
2010,3,1949,2461,2104,1623,1790,2957
2010,4,1995,2438,2103,1627,1850,2970
2010,5,1939,2459,2188,1623,1860,2925
2010,6,1946,2475,2131,1618,1832,2995
2010,7,2016,2523,2124,1671,1825,2989
2010,8,2037,2457,2135,1701,1839,2960
2010,9,2027,2554,2196,1637,1841,3018
2010,10,2025,2473,2189,1701,1860,3001
2010,11,1977,2515,2179,1662,1861,3038
2010,12,2077,2580,2197,1725,1854,3044
2011,1,2012,2530,2194,1746,1896,3088
2011,2,2090,2555,2252,1712,1862,3055
2011,3,2094,2617,2224,1740,1897,3119
2011,4,2101,2610,2220,1738,1871,3053
2011,5,2075,2612,2223,1728,1868,3066
2011,6,2087,2625,2256,1737,1944,3145
2011,7,2125,2600,2290,1756,1949,3101
2011,8,2135,2635,2288,1731,1942,3111
2011,9,2122,2631,2291,1705,1927,3174
2011,10,2109,2685,2303,1744,1976,3189
2011,11,2145,2655,2277,1807,1944,3201
2011,12,2147,2632,2322,1814,1922,3230
2012,1,2152,2667,2311,1786,1918,3163
2012,2,2099,2732,2332,1802,1964,3228
2012,3,2146,2706,2327,1798,1946,3223
2012,4,2165,2692,2366,1841,1968,3294
2012,5,2160,2686,2383,1852,1971,3311
2012,6,2179,2762,2316,1849,2015,3231
2012,7,2168,2767,2417,1843,1975,3284
2012,8,2232,2789,2389,1867,1969,3264
2012,9,2166,2765,2378,1824,2035,3279
2012,10,2192,2807,2400,1875,2067,3371
2012,11,2256,2766,2371,1891,2076,3360
2012,12,2227,2803,2456,1817,2019,3363
2013,1,2285,2829,2455,1917,2039,3333
2013,2,2267,2828,2402,1856,2094,3332
2013,3,2277,2825,2496,1912,2095,3439
2013,4,2283,2795,2431,1936,2117,3394
2013,5,2307,2869,2486,1858,2139,3427
2013,6,2286,2817,2506,1915,2075,3475
2013,7,2310,2880,2488,1927,2113,3493
2013,8,2336,2865,2507,1901,2128,3457
2013,9,2349,2924,2498,1932,2079,3436
2013,10,2318,2898,2541,1933,2110,3450
2013,11,2351,2961,2536,1931,2145,3530
2013,12,2329,2883,2582,1990,2109,3501
2014,1,2338,2921,2583,1915,2120,3534
2014,2,2336,2947,2570,1929,2165,3545
2014,3,2326,2919,2601,1993,2142,3607
2014,4,2363,2967,2533,1966,2181,3569
2014,5,2415,3041,2604,1977,2210,3592
2014,6,2419,2959,2652,1996,2165,3632
2014,7,2390,3045,2597,2029,2232,3629
2014,8,2421,3020,2637,2046,2225,3594
2014,9,2420,3058,2665,2073,2244,3607
2014,10,2490,3062,2610,2034,2255,3702
2014,11,2458,3018,2703,2077,2269,3685
2014,12,2448,3056,2712,2033,2260,3739
2015,1,2491,3091,2700,2095,2241,3713
2015,2,2445,3150,2685,2062,2319,3709
2015,3,2522,3160,2714,2040,2238,3741
2015,4,2545,3139,2716,2092,2256,3725
2015,5,2531,3138,2710,2068,2323,3781
2015,6,2507,3178,2769,2125,2334,3830
2015,7,2538,3182,2755,2107,2299,3838
2015,8,2560,3180,2738,2082,2348,3834
2015,9,2539,3212,2784,2140,2309,3851
2015,10,2524,3234,2774,2103,2379,3818
2015,11,2556,3191,2831,2186,2400,3850
2015,12,2566,3212,2820,2166,2408,3865
2016,1,2585,3262,2838,2201,2405,3861
2016,2,2612,3222,2812,2125,2413,3934
2016,3,2651,3220,2874,2147,2436,3891
2016,4,2633,3328,2846,2139,2408,3935
2016,5,2682,3326,2854,2179,2392,3915
2016,6,2608,3261,2892,2204,2409,3966
2016,7,2621,3294,2880,2209,2466,4017
2016,8,2689,3375,2879,2263,2435,3993
2016,9,2660,3321,2888,2192,2447,4029
2016,10,2664,3398,2876,2273,2509,3999
2016,11,2741,3396,2903,2244,2473,4086
2016,12,2715,3354,2932,2305,2460,4039
2017,1,2731,3393,2910,2295,2488,4034
2017,2,2735,3399,2919,2244,2524,4103
2017,3,2756,3446,3018,2304,2527,4065
2017,4,2706,3439,3019,2318,2564,4147
2017,5,2746,3409,2974,2284,2525,4113
2017,6,2739,3471,3001,2361,2581,4117
2017,7,2756,3450,3002,2299,2516,4156
2017,8,2748,3478,3012,2308,2602,4230
2017,9,2819,3558,3007,2359,2547,4244
2017,10,2792,3512,3053,2330,2612,4230
2017,11,2869,3494,3021,2342,2581,4225
2017,12,2889,3548,3040,2343,2587,4270
2018,1,2863,3533,3123,2329,2629,4306
2018,2,2835,3629,3105,2410,2665,4328
2018,3,2906,3574,3152,2399,2645,4282
2018,4,2864,3569,3132,2445,2680,4307
2018,5,2903,3581,3132,2450,2693,4357
2018,6,2913,3668,3156,2426,2662,4406
2018,7,2910,3653,3158,2444,2640,4349
2018,8,2968,3670,3175,2455,2695,4394
2018,9,2913,3660,3163,2461,2654,4399
2018,10,2950,3704,3182,2430,2689,4434
2018,11,2970,3700,3247,2467,2744,4444
2018,12,2942,3684,3206,2503,2746,4503
2019,1,2963,3700,3211,2464,2791,4500
2019,2,2982,3752,3246,2512,2708,4521
2019,3,3056,3792,3301,2470,2792,4532
2019,4,3037,3831,3237,2559,2826,4545
2019,5,3008,3782,3282,2496,2797,4600
2019,6,3062,3768,3318,2593,2837,4531
2019,7,3062,3821,3284,2549,2794,4617
2019,8,3091,3845,3359,2524,2789,4653
2019,9,3062,3889,3300,2610,2874,4670
2019,10,3132,3846,3390,2582,2857,4672
2019,11,3125,3920,3342,2588,2827,4671
2019,12,3164,3913,3366,2614,2854,4701
2020,1,3159,3899,3413,2588,2872,4742
2020,2,3112,3956,3409,2594,2909,4680
2020,3,3132,3951,3383,2608,2881,4717
2020,4,3200,3978,3466,2622,2874,4776
2020,5,3212,3986,3498,2701,2958,4815
2020,6,3153,3967,3446,2708,2943,4844
2020,7,3253,4061,3468,2684,2900,4838
2020,8,3205,4026,3538,2669,2945,4818
2020,9,3211,4092,3542,2662,2933,4845
2020,10,3263,4108,3537,2760,2997,4840
2020,11,3254,4113,3519,2690,3011,4878
2020,12,3241,4070,3585,2752,2991,4942
2021,1,3314,4093,3536,2733,3023,4969
2021,2,3303,4140,3558,2785,3068,5008
2021,3,3324,4192,3637,2724,2995,4950
2021,4,3359,4138,3634,2758,3099,4998
2021,5,3372,4171,3602,2832,3111,5040
2021,6,3343,4213,3617,2849,3105,5073
2021,7,3361,4223,3606,2842,3057,5020
2021,8,3368,4272,3698,2830,3058,5039
2021,9,3429,4249,3727,2863,3083,5079
2021,10,3405,4291,3738,2844,3138,5103
2021,11,3416,4287,3729,2857,3137,5172
2021,12,3434,4304,3686,2866,3129,5118
2022,1,3436,4329,3746,2879,3204,5155
2022,2,3459,4325,3793,2843,3171,5183
2022,3,3500,4396,3797,2896,3191,5234
2022,4,3500,4395,3805,2869,3171,5257
2022,5,3505,4388,3794,2933,3268,5236
2022,6,3511,4441,3821,2901,3219,5319
2022,7,3569,4409,3828,2924,3205,5333
2022,8,3581,4470,3804,2957,3252,5291
2022,9,3603,4455,3906,2928,3260,5329
2022,10,3612,4456,3879,2945,3312,5344
2022,11,3608,4520,3857,3045,3259,5430
2022,12,3564,4530,3933,2976,3287,5417
2023,1,3598,4564,3879,3022,3368,5477
2023,2,3616,4541,3986,3024,3359,5489
2023,3,3692,4550,4005,3075,3346,5448
2023,4,3661,4569,3957,3021,3329,5516
2023,5,3659,4581,3957,3059,3329,5536
2023,6,3689,4636,3958,3078,3403,5549
2023,7,3726,4620,4014,3128,3411,5557
2023,8,3745,4702,4071,3119,3431,5543
2023,9,3755,4725,4101,3082,3410,5653
2023,10,3730,4747,4037,3146,3406,5606
2023,11,3776,4667,4082,3184,3483,5682
2023,12,3743,4764,4133,3183,3512,5663
2024,1,3753,4732,4070,3167,3479,5721
2024,2,3866,4817,4170,3143,3483,5690
2024,3,3820,4786,4184,3192,3472,5759
2024,4,3801,4767,4199,3162,3501,5798
2024,5,3824,4842,4200,3260,3568,5833
2024,6,3898,4831,4200,3241,3559,5868
2024,7,3858,4886,4227,3272,3580,5874
2024,8,3898,4887,4223,3305,3595,5831
2024,9,3974,4932,4242,3240,3587,5914
2024,10,3992,4894,4283,3258,3589,5866
2024,11,3939,4927,4248,3330,3596,5955
2024,12,3972,4985,4344,3269,3648,5964
